week_start,region,campaign,spend,impressions,clicks
2026-06-01,East Region,Always-on Search,9387,313787,6704
2026-06-01,North Region,Always-on Search,9251,300914,6774
2026-06-08,East Region,Always-on Search,9263,268219,5431
2026-06-08,North Region,Always-on Search,9388,287230,7388
2026-06-15,East Region,Always-on Search,8946,303099,6638
2026-06-15,North Region,Always-on Search,8953,300613,9389
2026-06-22,East Region,Always-on Search,9058,274776,7257
2026-06-22,North Region,Always-on Search,9054,291670,9236
2026-06-29,East Region,Always-on Search,8690,267888,7484
2026-06-29,North Region,Always-on Search,9256,280200,5726
2026-07-06,East Region,Always-on Search,8749,252822,6974
2026-07-06,North Region,Always-on Search,9434,291498,8283
2026-07-13,East Region,Always-on Search,9351,276900,9566
2026-07-13,North Region,Always-on Search,9479,307690,8030
2026-07-20,East Region,Always-on Search,9181,286646,9275
2026-07-20,North Region,Always-on Search,8772,279180,7036
2026-07-27,East Region,Always-on Search,9390,305422,10591
2026-07-27,North Region,Always-on Search,9151,294894,8022
2026-08-03,East Region,Always-on Search,8850,295096,6669
2026-08-03,North Region,Always-on Search,9476,302305,9940
2026-08-10,East Region,Always-on Search,9371,309573,8511
2026-08-10,North Region,Always-on Search,9230,300922,6270
2026-08-17,East Region,Always-on Search,7070,206993,5787
2026-08-17,North Region,Always-on Search,9222,290530,6762
2026-08-24,East Region,Always-on Search,7571,217703,5863
