date,region,category,ticket_count
2026-06-01,East Region,checkout_error,2
2026-06-01,East Region,other,8
2026-06-02,East Region,checkout_error,3
2026-06-02,East Region,other,7
2026-06-03,East Region,checkout_error,2
2026-06-03,East Region,other,6
2026-06-04,East Region,checkout_error,4
2026-06-04,East Region,other,5
2026-06-05,East Region,checkout_error,3
2026-06-05,East Region,other,4
2026-06-06,East Region,checkout_error,4
2026-06-06,East Region,other,5
2026-06-07,East Region,checkout_error,3
2026-06-07,East Region,other,6
2026-06-08,East Region,checkout_error,3
2026-06-08,East Region,other,6
2026-06-09,East Region,checkout_error,3
2026-06-09,East Region,other,8
2026-06-10,East Region,checkout_error,4
2026-06-10,East Region,other,5
2026-06-11,East Region,checkout_error,4
2026-06-11,East Region,other,7
2026-06-12,East Region,checkout_error,3
2026-06-12,East Region,other,4
2026-06-13,East Region,checkout_error,3
2026-06-13,East Region,other,4
2026-06-14,East Region,checkout_error,2
2026-06-14,East Region,other,7
2026-06-15,East Region,checkout_error,3
2026-06-15,East Region,other,8
2026-06-16,East Region,checkout_error,4
2026-06-16,East Region,other,4
2026-06-17,East Region,checkout_error,3
2026-06-17,East Region,other,8
2026-06-18,East Region,checkout_error,3
2026-06-18,East Region,other,6
2026-06-19,East Region,checkout_error,3
2026-06-19,East Region,other,7
2026-06-20,East Region,checkout_error,2
2026-06-20,East Region,other,8
2026-06-21,East Region,checkout_error,3
2026-06-21,East Region,other,6
2026-06-22,East Region,checkout_error,3
2026-06-22,East Region,other,8
2026-06-23,East Region,checkout_error,2
2026-06-23,East Region,other,6
2026-06-24,East Region,checkout_error,3
2026-06-24,East Region,other,8
2026-06-25,East Region,checkout_error,4
2026-06-25,East Region,other,6
2026-06-26,East Region,checkout_error,4
2026-06-26,East Region,other,7
2026-06-27,East Region,checkout_error,3
2026-06-27,East Region,other,5
2026-06-28,East Region,checkout_error,2
2026-06-28,East Region,other,5
2026-06-29,East Region,checkout_error,4
2026-06-29,East Region,other,5
2026-06-30,East Region,checkout_error,4
2026-06-30,East Region,other,4
2026-07-01,East Region,checkout_error,4
2026-07-01,East Region,other,5
2026-07-02,East Region,checkout_error,3
2026-07-02,East Region,other,8
2026-07-03,East Region,checkout_error,4
