order_id,date,region,product,qty,price,channel,customer_id
1,2026-06-01,East Region,Standard Plan,1,81.37,web,C00572
2,2026-06-01,East Region,Add-on Pack,1,63.99,partner,C01729
3,2026-06-01,East Region,Standard Plan,1,62.01,web,C02070
4,2026-06-01,East Region,Add-on Pack,1,61.92,partner,C02662
5,2026-06-01,East Region,Add-on Pack,1,76.02,mobile,C02414
6,2026-06-01,East Region,Pro Plan,1,83.22,web,C02860
7,2026-06-01,East Region,Pro Plan,1,70.45,web,C01379
8,2026-06-01,East Region,Standard Plan,1,63.72,mobile,C01409
9,2026-06-01,East Region,Add-on Pack,1,68.39,partner,C01882
10,2026-06-01,East Region,Add-on Pack,2,64.6,web,C02262
11,2026-06-01,East Region,Pro Plan,1,83.76,partner,C00788
12,2026-06-01,East Region,Add-on Pack,1,63.09,mobile,C00327
13,2026-06-01,East Region,Standard Plan,2,84.77,mobile,C01858
14,2026-06-01,East Region,Add-on Pack,1,83.89,mobile,C01456
15,2026-06-01,East Region,Standard Plan,1,79.43,partner,C02601
16,2026-06-01,East Region,Standard Plan,1,75.73,web,C01894
17,2026-06-01,East Region,Pro Plan,1,68.54,partner,C01329
18,2026-06-01,East Region,Standard Plan,1,67.43,mobile,C01644
19,2026-06-01,East Region,Pro Plan,1,63.0,web,C02685
20,2026-06-01,East Region,Pro Plan,2,71.96,web,C01085
21,2026-06-01,East Region,Standard Plan,1,67.91,partner,C02395
22,2026-06-01,East Region,Pro Plan,2,85.62,mobile,C00899
23,2026-06-01,East Region,Standard Plan,1,75.06,web,C00450
24,2026-06-01,East Region,Standard Plan,2,78.27,partner,C00261
25,2026-06-01,East Region,Pro Plan,2,71.58,partner,C01030
26,2026-06-01,East Region,Add-on Pack,1,84.61,partner,C02953
27,2026-06-01,East Region,Standard Plan,1,79.74,partner,C01394
28,2026-06-01,East Region,Standard Plan,1,69.18,mobile,C00014
29,2026-06-01,East Region,Add-on Pack,1,85.02,partner,C00732
30,2026-06-01,East Region,Add-on Pack,1,86.02,partner,C02080
31,2026-06-01,East Region,Add-on Pack,1,66.61,web,C02210
32,2026-06-01,East Region,Add-on Pack,1,86.18,mobile,C00080
33,2026-06-01,East Region,Standard Plan,1,86.47,web,C00238
34,2026-06-01,East Region,Standard Plan,1,85.08,web,C02998
35,2026-06-01,East Region,Pro Plan,1,83.4,web,C02703
36,2026-06-01,East Region,Pro Plan,1,86.95,mobile,C02162
37,2026-06-01,East Region,Add-on Pack,1,72.71,partner,C02990
38,2026-06-01,East Region,Add-on Pack,1,66.67,mobile,C02752
39,2026-06-01,East Region,Add-on Pack,2,71.36,web,C01016
40,2026-06-01,East Region,Standard Plan,1,62.94,partner,C02269
41,2026-06-02,East Region,Add-on Pack,1,67.19,partner,C02585
42,2026-06-02,East Region,Standard Plan,1,67.43,mobile,C00291
43,2026-06-02,East Region,Add-on Pack,2,67.67,web,C02209
44,2026-06-02,East Region,Standard Plan,2,80.88,web,C01938
45,2026-06-02,East Region,Pro Plan,1,66.38,partner,C01766
46,2026-06-02,East Region,Pro Plan,2,72.72,partner,C00222
47,2026-06-02,East Region,Add-on Pack,1,78.97,web,C01650
48,2026-06-02,East Region,Add-on Pack,1,70.43,web,C00785
49,2026-06-02,East Region,Standard Plan,1,75.79,mobile,C00752
50,2026-06-02,East Region,Pro Plan,1,73.78,mobile,C02255
51,2026-06-02,East Region,Standard Plan,1,62.58,web,C00969
52,2026-06-02,East Region,Standard Plan,2,72.25,web,C01643
53,2026-06-02,East Region,Standard Plan,1,65.68,mobile,C01087
54,2026-06-02,East Region,Pro Plan,2,68.96,web,C00778
55,2026-06-02,East Region,Pro Plan,1,67.12,partner,C02221
56,2026-06-02,East Region,Standard Plan,1,81.54,web,C02393
57,2026-06-02,East Region,Pro Plan,1,74.88,web,C02081
58,2026-06-02,East Region,Standard Plan,1,84.36,partner,C00279
59,2026-06-02,East Region,Add-on Pack,2,84.64,web,C02334
60,2026-06-02,East Region,Standard Plan,1,76.95,partner,C00336
61,2026-06-02,East Region,Pro Plan,1,79.08,mobile,C00837
62,2026-06-02,East Region,Add-on Pack,1,80.68,mobile,C01622
63,2026-06-02,East Region,Standard Plan,1,79.47,mobile,C01296
64,2026-06-02,East Region,Standard Plan,1,61.45,web,C02203
65,2026-06-02,East Region,Standard Plan,1,74.96,mobile,C00282
66,2026-06-02,East Region,Standard Plan,1,71.25,mobile,C02226
67,2026-06-02,East Region,Add-on Pack,1,69.43,partner,C02272
68,2026-06-02,East Region,Pro Plan,1,86.54,web,C01084
69,2026-06-02,East Region,Standard Plan,1,85.4,mobile,C01155
70,2026-06-02,East Region,Add-on Pack,1,66.93,web,C02816
71,2026-06-02,East Region,Add-on Pack,2,84.4,mobile,C00209
72,2026-06-02,East Region,Standard Plan,1,78.45,web,C00015
73,2026-06-02,East Region,Pro Plan,1,82.17,web,C01810
74,2026-06-02,East Region,Add-on Pack,1,80.39,web,C00309
75,2026-06-02,East Region,Add-on Pack,1,85.79,mobile,C02386
76,2026-06-02,East Region,Add-on Pack,1,65.23,web,C01263
77,2026-06-02,East Region,Pro Plan,1,85.65,mobile,C00861
78,2026-06-02,East Region,Add-on Pack,1,67.99,mobile,C02294
79,2026-06-02,East Region,Pro Plan,1,87.69,web,C00666
80,2026-06-02,East Region,Standard Plan,1,85.17,web,C01361
81,2026-06-02,East Region,Pro Plan,1,83.02,mobile,C00653
82,2026-06-03,East Region,Pro Plan,2,84.92,web,C00818
83,2026-06-03,East Region,Pro Plan,1,70.71,web,C00097
84,2026-06-03,East Region,Add-on Pack,1,66.45,mobile,C00285
85,2026-06-03,East Region,Pro Plan,2,70.75,partner,C02197
86,2026-06-03,East Region,Pro Plan,1,86.75,mobile,C00732
87,2026-06-03,East Region,Add-on Pack,1,87.38,web,C00445
88,2026-06-03,East Region,Add-on Pack,1,73.02,mobile,C02484
89,2026-06-03,East Region,Add-on Pack,1,64.35,mobile,C00182
90,2026-06-03,East Region,Add-on Pack,1,73.06,mobile,C01767
91,2026-06-03,East Region,Standard Plan,1,87.01,partner,C01286
92,2026-06-03,East Region,Add-on Pack,1,84.27,partner,C01267
93,2026-06-03,East Region,Add-on Pack,2,72.31,partner,C01212
94,2026-06-03,East Region,Add-on Pack,2,64.66,partner,C01553
95,2026-06-03,East Region,Add-on Pack,1,81.55,partner,C02332
96,2026-06-03,East Region,Pro Plan,1,72.25,mobile,C01176
97,2026-06-03,East Region,Standard Plan,1,72.89,mobile,C01810
98,2026-06-03,East Region,Pro Plan,2,79.58,partner,C00696
99,2026-06-03,East Region,Add-on Pack,1,63.51,web,C00963
100,2026-06-03,East Region,Add-on Pack,1,69.64,web,C00101
101,2026-06-03,East Region,Standard Plan,2,67.86,partner,C00299
102,2026-06-03,East Region,Pro Plan,1,72.47,partner,C02853
103,2026-06-03,East Region,Pro Plan,1,74.65,web,C02688
104,2026-06-03,East Region,Add-on Pack,1,61.35,mobile,C00897
105,2026-06-03,East Region,Standard Plan,2,83.07,web,C02284
106,2026-06-03,East Region,Standard Plan,1,86.16,mobile,C00547
107,2026-06-03,East Region,Pro Plan,1,79.36,mobile,C02510
108,2026-06-03,East Region,Add-on Pack,2,85.46,partner,C01827
109,2026-06-03,East Region,Standard Plan,2,81.43,mobile,C01062
110,2026-06-03,East Region,Standard Plan,1,84.04,partner,C01985
111,2026-06-03,East Region,Add-on Pack,2,67.71,web,C02923
112,2026-06-03,East Region,Pro Plan,1,67.58,mobile,C02213
113,2026-06-03,East Region,Standard Plan,1,64.96,mobile,C02843
114,2026-06-03,East Region,Standard Plan,1,80.41,mobile,C01670
115,2026-06-03,East Region,Pro Plan,2,75.96,web,C00848
116,2026-06-03,East Region,Pro Plan,1,71.79,partner,C01559
117,2026-06-03,East Region,Pro Plan,1,61.36,mobile,C01598
118,2026-06-03,East Region,Pro Plan,1,75.84,mobile,C00899
119,2026-06-03,East Region,Pro Plan,1,73.05,mobile,C01377
120,2026-06-03,East Region,Add-on Pack,2,79.67,partner,C00677
121,2026-06-03,East Region,Pro Plan,1,86.21,mobile,C02425
122,2026-06-04,East Region,Add-on Pack,2,61.94,web,C01892
123,2026-06-04,East Region,Standard Plan,2,62.57,mobile,C00867
124,2026-06-04,East Region,Pro Plan,2,70.09,mobile,C01727
125,2026-06-04,East Region,Pro Plan,2,83.91,web,C02210
126,2026-06-04,East Region,Standard Plan,1,88.4,web,C02663
127,2026-06-04,East Region,Standard Plan,1,82.45,web,C01013
128,2026-06-04,East Region,Standard Plan,1,84.03,web,C00518
129,2026-06-04,East Region,Pro Plan,1,79.41,mobile,C02866
130,2026-06-04,East Region,Pro Plan,1,82.06,partner,C02488
131,2026-06-04,East Region,Add-on Pack,1,80.74,mobile,C00443
132,2026-06-04,East Region,Add-on Pack,1,61.9,partner,C02775
133,2026-06-04,East Region,Pro Plan,1,71.99,web,C02426
134,2026-06-04,East Region,Add-on Pack,1,83.79,web,C02856
135,2026-06-04,East Region,Pro Plan,1,84.33,partner,C00169
136,2026-06-04,East Region,Pro Plan,1,75.69,web,C02073
137,2026-06-04,East Region,Add-on Pack,2,70.48,mobile,C00433
138,2026-06-04,East Region,Pro Plan,2,87.33,partner,C00627
139,2026-06-04,East Region,Pro Plan,1,65.99,partner,C02205
140,2026-06-04,East Region,Pro Plan,1,73.84,mobile,C01006
141,2026-06-04,East Region,Standard Plan,2,68.79,web,C01904
142,2026-06-04,East Region,Add-on Pack,2,77.8,mobile,C00118
143,2026-06-04,East Region,Pro Plan,1,84.35,mobile,C00869
144,2026-06-04,East Region,Pro Plan,1,82.9,mobile,C02442
145,2026-06-04,East Region,Add-on Pack,1,85.14,partner,C00783
146,2026-06-04,East Region,Standard Plan,2,67.76,mobile,C02275
147,2026-06-04,East Region,Standard Plan,2,79.98,mobile,C00071
148,2026-06-04,East Region,Standard Plan,2,69.2,partner,C00997
149,2026-06-04,East Region,Pro Plan,1,79.26,mobile,C02268
150,2026-06-04,East Region,Add-on Pack,1,70.55,mobile,C02879
151,2026-06-04,East Region,Pro Plan,1,68.57,web,C00495
152,2026-06-04,East Region,Add-on Pack,1,66.44,partner,C02195
153,2026-06-04,East Region,Add-on Pack,1,66.24,partner,C01984
154,2026-06-04,East Region,Pro Plan,1,80.91,web,C00796
155,2026-06-04,East Region,Pro Plan,1,67.39,mobile,C00058
156,2026-06-04,East Region,Add-on Pack,1,75.73,web,C00224
157,2026-06-04,East Region,Add-on Pack,1,69.15,partner,C02011
158,2026-06-04,East Region,Standard Plan,1,84.94,mobile,C01961
159,2026-06-04,East Region,Pro Plan,1,70.47,mobile,C01957
160,2026-06-04,East Region,Standard Plan,2,83.56,mobile,C00304
161,2026-06-04,East Region,Add-on Pack,1,78.32,web,C00612
162,2026-06-04,East Region,Add-on Pack,1,87.02,web,C00486
163,2026-06-04,East Region,Add-on Pack,1,81.99,partner,C01559
164,2026-06-04,East Region,Pro Plan,1,85.91,partner,C01757
165,2026-06-04,East Region,Pro Plan,1,76.67,partner,C00407
166,2026-06-05,East Region,Add-on Pack,1,66.94,web,C00983
167,2026-06-05,East Region,Standard Plan,1,76.21,web,C01674
168,2026-06-05,East Region,Pro Plan,2,79.95,mobile,C00134
169,2026-06-05,East Region,Standard Plan,1,69.04,partner,C01860
170,2026-06-05,East Region,Standard Plan,1,79.9,partner,C02416
171,2026-06-05,East Region,Add-on Pack,1,83.07,mobile,C00471
172,2026-06-05,East Region,Add-on Pack,1,67.31,mobile,C00583
173,2026-06-05,East Region,Standard Plan,1,62.82,partner,C02332
174,2026-06-05,East Region,Pro Plan,2,73.14,partner,C01246
175,2026-06-05,East Region,Add-on Pack,1,72.15,partner,C02212
176,2026-06-05,East Region,Pro Plan,1,73.11,mobile,C01321
177,2026-06-05,East Region,Add-on Pack,1,68.01,web,C02762
178,2026-06-05,East Region,Add-on Pack,1,77.17,partner,C01104
179,2026-06-05,East Region,Add-on Pack,1,62.29,mobile,C02126
180,2026-06-05,East Region,Add-on Pack,1,73.23,web,C02398
181,2026-06-05,East Region,Pro Plan,2,78.47,web,C01926
182,2026-06-05,East Region,Pro Plan,1,72.31,partner,C00429
183,2026-06-05,East Region,Standard Plan,2,70.17,mobile,C02714
184,2026-06-05,East Region,Pro Plan,1,83.33,mobile,C00361
185,2026-06-05,East Region,Pro Plan,1,68.07,mobile,C02108
186,2026-06-05,East Region,Standard Plan,2,79.09,mobile,C00223
187,2026-06-05,East Region,Standard Plan,2,75.3,partner,C01811
188,2026-06-05,East Region,Standard Plan,1,66.74,mobile,C01795
189,2026-06-05,East Region,Add-on Pack,1,74.38,partner,C02494
190,2026-06-05,East Region,Standard Plan,1,80.51,partner,C00057
191,2026-06-05,East Region,Add-on Pack,1,72.3,web,C01891
192,2026-06-05,East Region,Standard Plan,1,78.82,mobile,C02936
193,2026-06-05,East Region,Pro Plan,1,75.04,mobile,C01977
194,2026-06-05,East Region,Pro Plan,1,67.83,mobile,C00781
195,2026-06-05,East Region,Add-on Pack,1,75.02,web,C01132
196,2026-06-05,East Region,Pro Plan,1,70.44,web,C01159
197,2026-06-05,East Region,Add-on Pack,2,69.32,web,C01830
198,2026-06-05,East Region,Add-on Pack,1,74.37,partner,C02226
199,2026-06-05,East Region,Pro Plan,1,73.59,web,C02857
200,2026-06-05,East Region,Standard Plan,1,76.75,mobile,C00179
201,2026-06-05,East Region,Pro Plan,2,81.46,mobile,C02719
202,2026-06-05,East Region,Add-on Pack,2,87.88,web,C00518
203,2026-06-05,East Region,Add-on Pack,1,87.46,web,C01804
204,2026-06-05,East Region,Standard Plan,2,75.51,web,C02960
205,2026-06-05,East Region,Standard Plan,1,72.35,web,C01924
206,2026-06-05,East Region,Pro Plan,2,70.41,partner,C00329
207,2026-06-06,East Region,Add-on Pack,2,84.57,mobile,C02568
208,2026-06-06,East Region,Add-on Pack,2,85.34,partner,C00148
209,2026-06-06,East Region,Add-on Pack,1,63.06,web,C00371
210,2026-06-06,East Region,Pro Plan,1,87.81,mobile,C00682
211,2026-06-06,East Region,Add-on Pack,1,69.35,web,C01329
212,2026-06-06,East Region,Standard Plan,1,69.18,mobile,C00597
213,2026-06-06,East Region,Standard Plan,1,75.65,web,C00718
214,2026-06-06,East Region,Standard Plan,2,77.78,partner,C02799
215,2026-06-06,East Region,Standard Plan,1,74.74,web,C01889
216,2026-06-06,East Region,Add-on Pack,1,68.11,partner,C00039
217,2026-06-06,East Region,Pro Plan,1,85.71,web,C01810
218,2026-06-06,East Region,Pro Plan,1,88.06,partner,C01738
219,2026-06-06,East Region,Add-on Pack,1,68.0,web,C01576
220,2026-06-06,East Region,Pro Plan,2,64.1,partner,C01471
221,2026-06-06,East Region,Add-on Pack,1,69.25,web,C02697
222,2026-06-06,East Region,Pro Plan,1,68.67,partner,C02035
223,2026-06-06,East Region,Pro Plan,1,82.3,partner,C01444
224,2026-06-06,East Region,Standard Plan,1,78.52,partner,C02953
225,2026-06-06,East Region,Add-on Pack,1,79.72,partner,C00398
226,2026-06-06,East Region,Add-on Pack,1,78.78,mobile,C00137
227,2026-06-06,East Region,Add-on Pack,1,71.12,web,C01209
228,2026-06-06,East Region,Pro Plan,1,81.53,web,C00542
229,2026-06-06,East Region,Add-on Pack,1,85.04,partner,C02056
230,2026-06-06,East Region,Pro Plan,1,83.79,mobile,C01209
231,2026-06-06,East Region,Add-on Pack,1,84.87,mobile,C00309
232,2026-06-06,East Region,Standard Plan,1,81.71,partner,C02967
233,2026-06-06,East Region,Add-on Pack,1,87.85,web,C01617
234,2026-06-06,East Region,Standard Plan,1,68.39,mobile,C01510
235,2026-06-06,East Region,Add-on Pack,1,81.57,partner,C01561
236,2026-06-06,East Region,Add-on Pack,1,86.78,partner,C00958
237,2026-06-06,East Region,Pro Plan,1,61.88,partner,C00907
238,2026-06-06,East Region,Add-on Pack,2,62.92,partner,C01238
239,2026-06-06,East Region,Add-on Pack,1,72.31,web,C00153
240,2026-06-06,East Region,Pro Plan,1,88.29,web,C00962
241,2026-06-06,East Region,Add-on Pack,2,64.89,mobile,C02747
242,2026-06-06,East Region,Add-on Pack,2,80.14,partner,C02977
243,2026-06-06,East Region,Standard Plan,1,85.28,mobile,C02522
244,2026-06-06,East Region,Pro Plan,1,86.74,web,C02828
